# SPE 3.0 File Format Specification, Appendix A
# SPE 2.X header with changes for 3.0
# ftp://ftp.princetoninstruments.com/Public/Manuals/Princeton%20Instruments/SPE%203.0%20File%20Format%20Specification.pdf
# Commented out all values except those highlighted in Appendix A as required for SPE 3.0 header.
# Note: SPE 3.0 files created by LightField leave non-required header values as 0.
# Byte offsets of fields required by SPE 3.0: 6, 18, 34, 42, 108, 656, 658, 664, 678, 1446, 1992, 2996, 4098
#
"Binary","Type_Name","Offset","Description"
"16s","ControllerVersion",0,"Hardware Version"
"16s","LogicOutput",2,"Definition of Output BNC"
"16u","AmpHiCapLowNoise",4,"Amp Switching Mode"
"16u","xDimDet",6,"Detector x dimension of chip."
"16s","mode",8,"timing mode"
"32f","exp_sec",10,"alternative exposure, in sec."
"16s","VChipXdim",14,"Vitual Chip X dim"
"16s","VChipYdim",16,"Virtual Chip Y dim"
"16u","yDimDet",18,"y dimension of CCD or detector."
"8s","date[DATEMAX]",20,"date"
"16s","VirtualChipFlag",30,"On/Off"
"8s","Spare_1[2]",32,""
"16s","noscan",34,"Old number of scans - should always be -1"
"32f","DetTemperature",36,"Detector Temperature Set"
"16s","DetType",40,"CCD/DiodeArray type"
"16u","xdim",42,"actual of pixels on x axis"
"16s","stdiode",44,"trigger diode"
"32f","DelayTime",46,"Used with Async Mode"
"16u","ShutterControl",50,"Normal, Disabled Open, Disabled Closed"
"16s","AbsorbLive",52,"On/Off"
"16u","AbsorbMode",54,"Reference Strip or File"
"16s","CanDoVirtualChipFlag",56,"T/F Cont/Chip able to do Virtual Chip"
"16s","ThresholdMinLive",58,"On/Off"
"32f","ThresholdMinVal",60,"Threshold Minimum Value"
"16s","ThresholdMaxLive",64,"On/Off"
"32f","ThresholdMaxVal",66,"Threshold Maximum Value"
"16s","SpecAutoSpectroMode",70,"T/F Spectrograph Used"
"32f","SpecCenterWlNm",72,"Center Wavelength in Nm"
"16s","SpecGlueFlag",76,"T/F File Is  Glued"
"32f","SpecGlueStartWlNm",78,"Starting Wavelength in Nm"
